TABLE_NAME	INDEX_NAME	COLUMN_NAME	NON_UNIQUE
os_address	fk_address_customers_id	customers_id	1
os_address	id	id	1
os_address	PRIMARY	id	0
os_ai_recommendations	idx_ai_contract	contract_id	1
os_ai_recommendations	idx_ai_feedback	user_feedback	1
os_ai_recommendations	idx_ai_type	recommendation_type	1
os_ai_recommendations	PRIMARY	id	0
os_auth_assignment	os_idx-auth_assignment-user_id	user_id	1
os_auth_assignment	PRIMARY	item_name	0
os_auth_assignment	PRIMARY	user_id	0
os_auth_item	os_idx-auth_item-type	type	1
os_auth_item	PRIMARY	name	0
os_auth_item	rule_name	rule_name	1
os_auth_item_child	child	child	1
os_auth_item_child	PRIMARY	parent	0
os_auth_item_child	PRIMARY	child	0
os_bancks	PRIMARY	id	0
os_capital_transactions	fk_capital_tx_company	company_id	1
os_capital_transactions	PRIMARY	id	0
os_citizen	PRIMARY	id	0
os_city	PRIMARY	id	0
os_collection	index_contract_id	contract_id	1
os_collection	index_created_by	created_by	1
os_collection	index_last_updated_by	last_updated_by	1
os_collection	PRIMARY	id	0
os_companies	PRIMARY	id	0
os_company_banks	PRIMARY	id	0
os_connection_response	PRIMARY	id	0
os_contact_type	PRIMARY	id	0
os_contracts	id	id	1
os_contracts	idx-contracts-company_del_status	company_id	1
os_contracts	idx-contracts-company_del_status	is_deleted	1
os_contracts	idx-contracts-company_del_status	status	1
os_contracts	idx-contracts-date_of_sale	Date_of_sale	1
os_contracts	idx-contracts-followed_by	followed_by	1
os_contracts	idx_contracts_company_del_status_date_id	company_id	1
os_contracts	idx_contracts_company_del_status_date_id	is_deleted	1
os_contracts	idx_contracts_company_del_status_date_id	status	1
os_contracts	idx_contracts_company_del_status_date_id	Date_of_sale	1
os_contracts	idx_contracts_company_del_status_date_id	id	1
os_contracts	idx_contracts_first_installment_date	first_installment_date	1
os_contracts	idx_contracts_followed_by	followed_by	1
os_contracts	idx_contracts_followed_by	id	1
os_contracts	idx_contracts_seller_id	seller_id	1
os_contracts	idx_contracts_seller_id	id	1
os_contracts	idx_c_status	status	1
os_contracts	index_followed_by	followed_by	1
os_contracts	os_contracts_seller_ibfk_1	seller_id	1
os_contracts	PRIMARY	id	0
os_contracts_customers	contracts_customers_contract_id_idx	contract_id	1
os_contracts_customers	contracts_customers_customer_id_idx	customer_id	1
os_contracts_customers	id	id	1
os_contracts_customers	idx_occ_contract_customer	contract_id	1
os_contracts_customers	idx_occ_contract_customer	customer_id	1
os_contracts_customers	idx_occ_customer_contract	customer_id	1
os_contracts_customers	idx_occ_customer_contract	contract_id	1
os_contracts_customers	PRIMARY	id	0
os_contract_document_file	PRIMARY	id	0
os_contract_inventory_item	id	id	1
os_contract_inventory_item	idx_contract_id	contract_id	1
os_contract_inventory_item	idx_item_id	item_id	1
os_contract_inventory_item	idx_serial_number_id	serial_number_id	1
os_contract_inventory_item	PRIMARY	id	0
os_court	PRIMARY	id	0
